Park name,County or counties,Area in acres (ha),Date founded,Stream(s) and / or lake(s),Remarks,Image
Allegheny Islands State Park,Allegheny County,43 acres (17 ha),1980,Allegheny River,"Three alluvial islands near Pittsburgh with no facilities, and accessible only by boat",
Archbald Pothole State Park,Lackawanna County,150 acres (61 ha),1964,None,"One of world's largest potholes, 38 ft (12 m) deep, largest diameter 42 feet (13 m) by 24 feet (7 m)",
Bald Eagle State Park,Centre County,"5,900 acres (2,388 ha)",1971,"Bald Eagle Creek, Foster Joseph Sayers Reservoir","1,730 acre (700 ha) U.S. Army Corps of Engineers reservoir named for Medal of Honor recipient",
Beltzville State Park,Carbon County,"2,973 acres (1,203 ha)",1972,"Pohopoco Creek, Beltzville Lake",U.S. Army Corps of Engineers lake is 949 acres (384 ha) with 19.8 miles (31.9 km) of shoreline.,
Bendigo State Park,Elk County,100 acres (40 ha),1959,East Branch Clarion River,"Only 20 acres (8.1 ha) developed, name a corruption of Abednego",
Benjamin Rush State Park,Philadelphia County,275 acres (111 ha),1975,None,"Site of one of the world's largest community gardens, otherwise undeveloped",
Big Pocono State Park,Monroe County,"1,306 acres (529 ha)",1954,None,"On Camelback Mountain, site of Camelback Ski Area and Waterpark",
Big Spring State Forest Picnic Area,Perry County,45 acres (18 ha),1936,Big Spring Run,Park has trail to partially completed railroad tunnel in Conococheague Mountain.,
Black Moshannon State Park,Centre County,"3,394 acres (1,374 ha)",1937,"Black Moshannon Creek, Black Moshannon Lake",Park has bog with three carnivorous plant species and 17 orchid varieties.[f][g],
Blue Knob State Park,Bedford County,"5,874 acres (2,377 ha)",1945,None,This former Recreation Demonstration Area on the state's second highest mountain has Blue Knob All Seasons Resort (skiing).,
Boyd Big Tree Preserve Conservation Area,Dauphin County,914 acres (370 ha),1999,Unnamed tributary of Fishing Creek,"On Blue Mountain, one of three Conservation Areas, named for donor Alex Boyd",
Buchanan's Birthplace State Park,Franklin County,18.5 acres (7 ha),1911,Buck Run,"Stone pyramid marks the birthplace of James Buchanan, 15th President of the United States.",
Bucktail State Park Natural Area,Cameron and Clinton Counties,"21,039 acres (8,514 ha)",1933,"Sinnemahoning Creek, West Branch Susquehanna River","Park, named for the Bucktail Regiment, is a 75-mile (121 km) undeveloped scenic drive on PA 120.",
Caledonia State Park,Adams and Franklin Counties,"1,125 acres (455 ha)",1903,"Rocky Mountain Creek, Carbaugh Run, East Branch Conococheague Creek","Park, named for Thaddeus Stevens' iron furnace, is home to summer stock Totem Pole Playhouse.",
Canoe Creek State Park,Blair County,658 acres (266 ha),1979,"Canoe Creek (tributary of Raystown Branch Juniata River), Canoe Creek Lake",Home of largest nursery colony of little brown bats in the state.,
Chapman State Park,Warren County,805 acres (326 ha),1951,"Farnsworth Run, West Branch Tionesta Creek, Chapman Lake",Trailhead for trail system in surrounding Allegheny National Forest,
Cherry Springs State Park,Potter County,48 acres (19 ha),1922,None,"Park known for some of the clearest, darkest night skies in the state and eastern US.[f][g]",
Clear Creek State Park,Jefferson County,"1,676 acres (678 ha)",1922,"Clear Creek, Clarion River",Start of popular canoe trip on 10 miles (6 km) of Clarion River to Cook Forest State Park[g],
Codorus State Park,York County,"3,329 acres (1,347 ha)",1966,"Codorus Creek, Lake Marburg","Man-made lake is 1,275 acres (516 ha), named for former village of Marburg now flooded by it.",
Colonel Denning State Park,Cumberland County,273 acres (110 ha),1936,"Doubling Gap Creek, Doubling Gap Lake","Park named for William Denning, an American Revolutionary War veteran who was never a colonel.",
Colton Point State Park,Tioga County,368 acres (149 ha),1936,Pine Creek,"On west rim of the Pennsylvania Grand Canyon, 800 feet (244 m) deep here[d][f][g]",
Cook Forest State Park,"Clarion, Forest, and Jefferson Counties","8,500 acres (3,440 ha)",1927,"Toms Run, Clarion River","National Natural Landmark, one of America's top-50 state parks (National Geographic Traveler)[d][f][g]",
